COMMUNE_NOM,COLL_INSEE,TYPE_EVENEMENT,ANNEE,DATE_EVENEMENT,NOMBRE_EVENEMENT
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090701,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090627,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090606,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090528,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090509,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090425,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090321,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090221,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090214,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090130,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2009,20090121,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20081227,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20081206,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20081004,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080927,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080913,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080830,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080802,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080726,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080719,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080628,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080607,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080426,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080308,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2008,20080216,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20071006,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070915,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070901,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070728,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070721,4
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070706,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070630,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070623,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070609,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070606,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070526,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070512,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070505,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070324,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070303,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2007,20070203,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20061202,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060909,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060729,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060715,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060708,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060701,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060617,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060610,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060401,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2006,20060121,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20051029,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050910,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050827,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050723,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050716,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050702,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050618,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050611,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050604,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050514,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050430,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050326,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050115,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2005,20050108,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20041023,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040911,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040821,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040814,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040807,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040724,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040723,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040710,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040703,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040612,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040605,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040515,2
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040410,3
NEUVILLE-SAINT-REMY,59428,MARIAGE,2004,20040214,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20031206,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20031018,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030927,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030913,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030906,1
NEUVILLE-SAINT-REMY,59428,MARIAGE,2003,20030830,1
